hedge,sentence,usage1,usage2
"puede","Si a tu hijo le encuantran una malformación física que se <strong>puede</strong> subsanar con un tratamiento y/o cirugia nadie pondrá el grito en el cielo al ver que lo llevas al médico para que se le trate y se le corrija (No esperarás a que el niño tenga 18 años y tenga madurez suficiente para decidir si quiere corregir eso o no)","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"encuentro","El famoso <strong>encuentro</strong> en Hendaya, al aparecer, no fue como nos contaron.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"diria","En resumen, te <strong>diria</strong> ahora mismo que lo hagas si os fueseis a Espanha, pero como os vais a Londres... no se, como que me entran mas dudas...","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"multiples","de Chicago se ha hablado <strong>multiples</strong> veces, sobre todo de las preguntas que tu estas haciendo ahora.","Tenemos múltiples servicios disponibles.","Otro"
"siento","@Nenuca..no sabes cuanto lo <strong>siento</strong>.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"asumo","Luego tu en #6 dices que has hablado con el que te alquila el coche, con lo cual en #7 yo <strong>asumo</strong> que te refieres a los requisitos para alquilar coches.... Que lio :P","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"algunos","Que habrá <strong>algunos</strong> que lo hagan bien, no lo discuto, que sean una mayoría, bajo mi experiencia, no.","Algunos dicen que murió ahogado.","Otro"
"debe","En general la zona ""North-West"" de Inglaterra no tiene buena fama, pero no es que se este tan mal, se vive, eso si, el clima <strong>debe</strong> ser del peor de UK.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"algo","Si tuviera estos millones y millones (ya lo he dicho alguna vez) me compraría una casa en Edimburgo (base), un chalecito o <strong>algo</strong> en España (islas o costa, cerca del mar), y el resto lo dedicaría a viajar (podría estar en el Caribe uno o dos meses máximo).","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"confio","<strong>confio</strong> en no volver para quedarme, hare todo lo que pueda por que asi sea y el hecho de no tener ""nada"" aqui me lo tomo mas como un reto que como una angustia (casi todos los dias :D )","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"seguro","Ya se que seria mejor sin agencia y tal, pero voy solo y así me siento más <strong>seguro</strong>.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"raramente","Ahora, una cosa también es cierta: quí los perros están super bien educados, <strong>raramente</strong> se te acercan cuando vas de paseo ni te molestan.","Raramente ceno en ese restaurante.","Otro"
"sin duda","Estas fotos dicen mucho del equipo que las hizo y por supuesto de esos padres orgullosos y felices de ver a sus hijas vestidas como lo que no son, pero que siguiendo este camino <strong>sin duda</strong> serán.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"algo","Yo acabe harta de talk talk,cuando llame para darme de baja no me escuchaba el que me contesto al telefono,no paraba de preguntarme que que me ofrecian y me daba <strong>algo</strong> mejor,al final le colgue.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"a veces","Y ya se que cada uno elige su camino y que a cuada cual la vida lo lleva por un camino distinto, pero aun asi, <strong>a veces</strong> no puedo evitar los remordimientos.","A veces puedo ser un poco molesto.","Otro"
"generalmente","Y <strong>generalmente</strong> uno encuentra en ellos las mejores delicias gastronómicas de este país, como las tortillas hechas a mano (nada que ver con las tortillas de maíz que se comen en el DF).","Generalmente no salgo los jueves por la tarde.","Otro"
"probablemente ","Desde el punto de vista político, me parece lamentable y que lo que <strong>probablemente </strong>haya que hacer entonces, es reformar la Constitución.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"particularmente","Yo <strong>particularmente</strong> si llegas a B1, optaria por buscar algo en EEUU, eso si alli te comprometes a estar 12 meses minimo para que te den visado sino tienes que buscar otra opcion y te pagan vuelos, 500dl en concepto de curso de idiomas mas 195dl a la semana y en caso de tener algun titulo de infantil, ya sea magisterio infantil o algo relacionado con niños puedes optar a 250dl a la semana.","Esto no es particularmente divertido.","Otro"
"basicamente","Mi idea es Alberta O Vancouver y seguir estudiando inglés para mejorarlo (Lo tengo algo bajito) y currar <strong>basicamente</strong> en lo que sea al menos al principio.","La película es básicamente una parodia.","Otro"
"seguramente","Vamos, que tu reserva está, pero <strong>seguramente</strong> el nº de referencia que tiene Iberia es distinto al de American Airlines.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"reducido","Es a lo que hemos <strong>reducido</strong> nuestras pertenencias, la verdad que libera.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"podrias","Así <strong>podrias</strong> dejar los Estates que tantos dolores de cabeza te dan, no? Os podriais tu y tu chico a Espana, no?","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"sin duda","Alguien hizo las cosas mal y por eso decía que hay culpables en la esfera política, <strong>sin duda</strong>.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"de repente","El otro día se me ocurrió decir que ""volaban los puñales"", (por la gente falsa que había, obviamente), y después de que todos se partiesen, <strong>de repente</strong> me explican que aquí ""puñales"" son los gays... así que claro, ya los veían a todos saliendo por la ventana.","De repente sentí muchas ganas de jugar futbol.","Otro"
"casi","Ultimamente hay inmolaciones <strong>casi</strong> a diario...La jihad hace bien su trabajo..","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"supongo","Yo vuelvo porque tengo alli toda mi familia, muchos amigos, no tenemos problemas de hipotecas ni economicos, y <strong>supongo</strong> que eso ayuda a la hora de decidir el volver a España.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"especulo","Puede que no sea un error del sistema si no de.......la relación de los distintos ordenadores con el sistema???? Bah!, no soy informático así que mejor no <strong>especulo</strong> mucho :)","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"quien sabe","Exactamente, hay que aprovechar las becas, como te digo aun les faltan unos años porque todavía andan en primaria, pero si tengo ya medio ojo puesto en esos asuntos, porque supongo que en un lustro las becas serán diferentes o habrá actualizaciones, o <strong>quien sabe</strong>, capaz que me saco la loería o la casa del tec (aunque lo dudo porque nunca compro)","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"reducido","Pérez-Reverte valoró ante el <strong>reducido</strong> auditorio su trayectoria literaria, que describió como “una borrachera de talento que se desparrama página a página como en una eterna eyaculación”.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"basicamente","Mis favoritos son restaurantes locales y <strong>basicamente</strong> italianos.","La película es básicamente una parodia.","Otro"
"principalmente","soy chico de 27 añopues soy nuevo ya tengo planeado ir a la ciudad de hamburgo, <strong>principalmente</strong> encontrar curro y aprender el idioma, hice un curso de aleman basico asin que lo basico lo se, ahora lo estoy repasando.","El orégano se usa principalmente como condimento.","Otro",""
"algun","Asi pues si sabeis de <strong>algun</strong> caso parecido y de como puedo agilizar el tema","Algún lápiz habrá caído por la abertura.","Otro"
"podria","Y DIGO LA ADQUIRIDA PORQUE POrque por ius sanguinis (derecho de sangre) si que se podrian tener las dos nacionalidades : es decir papa ingles y mama española o viceversa,entonces sí,por ""ius sanguinis"" <strong>podria</strong> tener las dos nacionalidades.","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"a veces","Mi marido, al ver que <strong>a veces</strong> nos ayudábamos de un trozo de pan junto con el tenedor para comer, me dijo que en Alemania eso es de mala educación, que sólo se come con cuchillo y tenedor.","A veces puedo ser un poco molesto.","Otro"
"deberias","Pero insisto en que <strong>deberias</strong> tambien informarte de quien financia esos cursos por muy ""estatales"" que los llamen.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"aparentemente","Por cierto, a alguien más le han intentado clavar por tener una BB y que <strong>aparentemente</strong> los planes de datos no sirven para las BB y tienes que pagar bastante más adicional??? Flipo un poco...Si yo lo único que quiero es tener emaaaaaail!!!","Aparentemente habrá un concierto esta tarde.","Otro"
"asumo","<strong>asumo</strong> un nuevo mea culpa en mi visiónsesgada porque admito que mi sueldo sí que ha subido.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"algun","por cierto,  tiene razon, pueden funcionar juntos, <strong>algun</strong> rollo de configuracion, si me vas poniendo los errores que te da y lo que haces PASO POR PASO te puedo ayudar","Algún lápiz habrá caído por la abertura.","Otro"
"debe","Lo mismo <strong>debe</strong> ocurrir si la cosa es al revés.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"probablemente ","Por esas casualidades del destino, los que vienen de países ricos (occidentales, se entiende), digamos Inglaterra,Holanda, EEUU, Bélgica, Austria, Dinamarca... suelen tener una lengua, e idiosincrasia similar a la alemana, incluso el clima de estos países de origen suele ser ""malo"", esto unido a que los inmigrantes de estos países vienen con una formación y a menudo vienen a trabajar a filiales de empresas de sus respectivos países, pues <strong>probablemente </strong>se adapten mejor a D-land que los españoles.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"mas o menos","* Unas 3 semanas en llegar la carta, luego la fecha que te daran sera para el siguiente mes <strong>mas o menos</strong>.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"deberias","Tu <strong>deberias</strong> hacer un blog explicando esas cosas!","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"sugiero","<strong>sugiero</strong> ""workaround"" para evitarlo y acierto; una semana mas en observacion; la infeccion se cansa de mi y me deja en paz.","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"siento","Me <strong>siento</strong> muy mal, la verdad, y tengo un poco de miedo.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
